651546.547 6861878.660
651580.583 6861938.757
651626.795 6862024.772
651663.704 6862068.721
651686.507 6862084.321
651706.730 6862072.143
651726.855 6862065.748
651747.002 6862061.911
651764.867 6862057.314
651788.147 6862050.782
651806.207 6862043.182
651819.708 6862060.750
651830.980 6862075.001
652049.121 6861994.574
652034.741 6861968.227
652020.941 6861932.202
652006.688 6861894.624
652024.503 6861883.912
652045.759 6861872.172
652064.903 6861862.339
652091.205 6861848.444
652111.516 6861837.823
652129.489 6861828.334
652134.557 6861811.168
652134.557 6861811.168
652117.530 6861766.384
652110.552 6861747.872
652104.964 6861728.681
652098.869 6861710.494
652113.918 6861702.252
652126.145 6861707.823
652135.786 6861728.982
652145.923 6861739.128
652167.553 6861728.163
652184.657 6861720.127
652200.150 6861712.438
652213.892 6861705.875
652226.826 6861699.319
652246.290 6861701.494
652276.784 6861768.851
652305.472 6861821.879
652327.003 6861870.295
652344.233 6861913.188
652363.780 6861952.391
652357.752 6861986.690
652387.284 6862062.396
652481.884 6862109.324
652528.670 6862186.557
652616.745 6862135.907
652691.950 6862243.156
652728.183 6862295.457
652758.566 6862341.246
652816.414 6862417.168
