31,652608.131779828,6861482.78879652
197,652737.13040683,6861425.70367193
198,652854.977709527,6861364.59016136
261,652398.115863913,6861428.96955964
327,651599.314061674,6861969.48392477
275,651563.490265601,6861904.28766718
21,651639.784095687,6861825.10366434
447,651623.413894695,6861797.42248199
287,651614.288378105,6861782.92737859
17,651584.74633281,6861692.31119169
12,651640.044741963,6861685.37312173
13,651682.673223178,6861681.43590854
11,651622.951838259,6861633.24723263
7,651613.232621212,6861585.80296295
6,651608.558394879,6861574.06678251
245,652176.317672108,6861563.8085434
71,652287.709458743,6861789.41176344
105,652307.949663761,6861779.53092575
70,652325.038978688,6861865.10031315
241,652183.741934036,6861932.74188842
102,652253.268809803,6862118.10425616
215,652205.622859752,6862133.75438716
140,652145.043217481,6862164.0235663
112,652101.344433719,6862178.96445831
111,652002.953570806,6862221.11080776
114,652018.011752394,6862263.88652725
153,652415.484440664,6862135.70629365
226,652597.688742138,6861679.91225862
200,652693.305652441,6861633.31583615
290,652820.942339904,6861572.11426755
416,652935.335291367,6861510.05074417
86,652896.482853698,6861440.00853548
289,652880.027356348,6861667.45329399
238,652892.200129625,6861693.9951825
236,652953.78801848,6861800.94013299
220,653009.6823057,6861891.69088307
341,653047.434386207,6861905.4161261
340,653123.378265917,6861877.81785323
77,653056.597534909,6861931.09856274
204,652976.367278905,6861963.93262411
61,652904.179542345,6861993.36618176
88,652844.876381985,6862021.91066549
201,652808.147517997,6862037.12379926
87,652791.527591651,6861996.14728529
76,652772.726252474,6861947.14244894
481,652732.777606418,6862068.30214311
482,652803.044486425,6862189.8361977
206,652827.402076607,6862172.07498798
462,652794.003219966,6862197.31763034
460,652751.353478217,6862216.3563932
404,652694.454413285,6862243.70438351
403,652729.615724742,6862295.8597914
410,652760.722680932,6862339.61022167
408,652813.856017781,6862417.8148062
412,652951.632319771,6862262.55769446
234,652720.164772353,6862361.6241692
56,652634.653773056,6862403.53013681
58,652627.707348541,6862396.37564966
229,652610.515652249,6862357.71251789
235,652582.071135291,6862302.75619241
154,652482.50440622,6862112.58921009
343,652128.12448119,6862097.35483128
312,652077.827545307,6862119.65091895
344,652095.501133565,6862103.02097567
216,652179.110586368,6862075.05341274
101,652229.51478134,6862053.7383488
355,652048.09075872,6861992.53893229
420,651826.422933396,6862074.39397393
125,651760.102949783,6861950.87372205
377,651931.734042541,6861791.91261312
307,652093.101108987,6861705.64989433
306,652114.566681475,6861754.73076597
322,652135.73279567,6861827.16697448
147,652464.601954464,6861597.69400789
425,652574.717752216,6861542.62569288
191,652772.275344996,6862441.06282995
219,652529.465293871,6862187.36182826
218,652450.403191556,6862229.8566619
432,652401.333582967,6862257.54083171
438,652365.069908384,6862281.14120212
318,652459.803751106,6862272.21437239
439,652425.612253127,6862296.53315674
107,652324.582267894,6862455.32595502
217,652378.876997658,6862434.81547291
183,652323.216558055,6862636.10552803
478,652208.807960518,6862501.95079735
108,652242.577054264,6862420.68101897
479,652186.645240394,6862433.55359202
29,652346.221230096,6862238.9543886
99,652305.017589544,6862248.17290624
163,652262.001454588,6862258.33873395
222,652291.532461707,6862319.36809476
244,652318.963199565,6862304.62134869
429,652330.422821791,6862298.14960268
159,652328.47517114,6862306.60347185
449,652269.81030059,6862334.26412839
314,652222.598657021,6862360.60437123
313,652189.579252193,6862270.41542476
352,652180.613813328,6862251.20978514
354,652133.460813832,6862278.72802002
358,652116.147987476,6862291.33167031
359,652048.659854345,6862316.90907319
360,651994.588761331,6862346.59486008
357,651954.67448689,6862356.88428672
169,651929.039996551,6862374.51208397
168,652002.058431627,6862493.9961436
350,651868.035021789,6862404.4525435
110,651846.295469055,6862363.81810914
127,651826.792166799,6862426.47825368
123,651750.539876191,6862462.72756485
353,651724.739551379,6862466.22925406
129,651661.694837925,6862446.05331767
182,651620.162422998,6862462.73567667
128,651623.197322432,6862354.83524458
120,651585.586138843,6862363.93061616
121,651566.962681262,6862313.75377548
184,651691.246724338,6862272.93052364
351,651973.966600542,6862161.72021029
349,651898.068462484,6862193.74721378
348,651823.942272333,6862225.76031414
424,652232.016082285,6861694.6904793
196,652247.029339558,6861701.33732254
417,652359.120099909,6861839.06293891
446,652346.300366043,6861823.86127684
406,652438.708275805,6861734.20231035
211,652387.940985309,6861693.79955255
104,652373.668315887,6861705.39743338
195,652346.423865485,6861653.41898603
148,652392.735621649,6861630.56751939
28,651508.431422687,6861704.43000484
26,651491.211738376,6861775.22353943
15,651539.474087789,6861868.42878198
16,651475.615507473,6861904.67955866
274,651581.245827144,6861985.87377746
284,651614.952471975,6861556.05613083
283,651582.269988669,6861543.1800862
8,651676.461874008,6861514.8689362
277,651666.082655116,6861574.27351736
2,651709.146349855,6861581.12676129
1,651710.285655711,6861570.22518477
278,651763.077175961,6861539.80758376
329,651722.325480017,6861497.46139678
336,651802.869248662,6861466.86168569
372,651814.868201249,6861513.27468687
337,651829.546546939,6861455.84567646
49,651898.641959635,6861433.09449739
50,651922.805563084,6861498.64014225
472,651875.580075795,6861523.95667651
52,651919.10698072,6861580.53863836
51,651907.835676073,6861592.18157332
247,651851.037948728,6861614.24108722
250,651985.854963423,6861405.43461531
249,652028.747416777,6861421.22164546
251,652121.777545299,6861376.88258202
368,652106.791830136,6861349.87339699
252,652161.191326457,6861418.36030141
41,652167.191550849,6861537.19329197
40,652134.510789314,6861488.64460326
44,652209.77352337,6861491.65408553
333,652242.702769255,6861516.69957824
246,652275.309970305,6861496.70720815
35,652255.51477045,6861459.18900503
38,652244.405695438,6861448.68265027
43,652246.084857302,6861437.48211195
42,652229.233458506,6861398.95805324
34,652318.590321228,6861440.2213823
326,652334.023669919,6861461.97711644
423,652431.716398413,6861505.87166154
